"","Mean","Standard.Deviation","Skewness","Kurtosis","T.Test","Winners","Loserss"
"1",-17.0918302965357,10.5282584923957,0.816323286948936,0.229658057742052,1.16377836806174e-29,92,8
"2",-2.5468208371242,12.4813845139226,0.907402223441075,0.436697728598103,0.0439632645233808,69,31
"3",0.685304816369221,13.0622241632004,0.998294502050669,0.526040662433913,0.601001898742115,61,39
"4",5.24667051021707,13.5933896320695,1.0257774019439,0.572499676186449,0.000202408144468571,47,53
"5",2.03714093902477,13.8214655653914,0.967878413717983,0.395394426808717,0.143682202030391,58,42
"6",3.02780116718056,14.8626737147946,0.86030502217581,0.192071777723231,0.0443002580632015,57,43
"7",-3.55338305851946,15.3101142851361,0.550705118663005,0.0456925161607753,0.0223413395046699,68,32
"8",-0.367802490355242,16.9807013574002,0.443893732830571,-0.164893780371923,0.828965567993619,62,38
"9",-24.1119874156636,12.6582627534811,0.58450411868171,0.171855420033434,7.01061143589745e-35,95,5
"10",-22.3817159478677,12.104717463903,0.738439312765097,1.039912343697,7.02992432552851e-34,95,5
"11",-36.2580835569831,8.83994991883038,0.558361351446572,0.94533565087997,6.1282536707451e-64,100,0
"12",-20.1972540459553,9.69595125235266,0.0964476378421235,-0.176058644151674,5.76879478222417e-38,98,2
"13",-22.3266515135,8.96774230500688,0.0267387113810385,-0.165766330013414,2.06588801729949e-44,99,1
"14",-5.50535813724087,11.3380560130194,-0.169938474398761,-0.574816808863306,4.48871758796339e-06,65,35
"15",-12.7986400923895,10.8936192077596,-0.231262088627082,-0.767071548713578,1.77134160745221e-20,92,8
"16",-13.1776956582739,11.1570594344686,-0.209106371236406,-0.963490145852696,1.30195572451833e-20,92,8
"17",-16.4618321254644,10.8039101345054,-0.0401138970660928,-0.998202989835908,1.04751155848344e-27,96,4
"18",-14.5559514604691,10.723423110282,0.0352902064218722,-1.08604020999666,2.48562940079043e-24,89,11
"19",-17.8220742848807,10.1652113169802,0.19800916390354,-0.98982737607896,4.0157690696261e-32,97,3
"20",-20.4338801916989,9.49469234304577,0.199577189515175,-1.16891149439467,4.07088987312088e-39,100,0
"21",-19.8519326716251,10.6384511981175,0.280478564328716,-0.913336606133191,3.4632031396006e-34,97,3
"22",-18.9891777529555,10.5984122449899,0.384199442512996,-0.735676426112707,7.80206608082379e-33,94,6
"23",-20.3374468305944,9.72259335438937,0.405878366192023,-0.608966653295502,4.11669863421299e-38,98,2
"24",-27.1363253227088,8.09130065123411,1.01717251409457,0.838202590350361,7.30620569529947e-56,100,0
"25",-10.3280917388555,18.8273683694376,0.452728379759867,-0.298029409772816,3.16514207819475e-07,77,23
"26",-7.77847375290309,19.5565301341862,0.626313156848165,-0.470691962103839,0.00013268357328907,71,29
"27",-12.3371191013106,19.3736866279729,0.690086618519618,-0.508537581878101,6.04077160547088e-09,78,22
"28",-16.8790197103871,23.3611879415746,1.00128506330984,-0.395238005397052,1.05121368507259e-10,73,27
"29",-28.821289889453,20.1463379757252,1.24903063856739,0.242862774294684,7.80456830856252e-26,86,14
"30",-36.1074553514137,17.5768592115182,1.56124123149106,1.35131941703431,1.77137175046267e-37,91,9
"31",-44.2913361144431,12.8176457534489,1.77395425854353,2.43961425167021,4.77548957728578e-57,100,0
"32",-40.851142145224,11.4875666802101,2.09077414650645,4.63138358986133,3.43583477434883e-58,98,2
"33",-32.4227856070512,9.43468622932276,1.6758745217278,3.38673687498017,7.89560451681251e-57,98,2
"34",42.0263636012215,31.8042016829518,-0.521781232841485,-0.939074566235697,1.39279228490233e-23,15,85
"35",53.6588031768499,24.9236593501126,-0.689566418196837,-0.327875377708632,3.95069501668374e-39,3,97
"36",51.5986425859887,21.875193633585,-0.613457951772721,-0.126135230490108,2.01977249714176e-42,2,98
"37",39.4652898601155,17.3802051085736,-0.479396249775682,0.00483883548423725,4.88231847328326e-41,3,97
"38",38.8302180685358,15.0941712624897,-0.321206759814697,0.18563876356449,1.24151670663126e-45,1,99
"39",18.1693591311228,11.1170800272736,-0.0463183613778394,-0.186136392024915,7.15812806057779e-30,8,92
"40",4.92473748598227,9.510468261937,0.0694136223798539,-0.275385629789761,1.1786966401246e-06,26,74
"41",0.862521772430244,9.84229843645411,0.0780453327166392,-0.50691635881743,0.382965689560941,50,50
"42",-6.97337404228354,9.94331985820984,0.0526005184893067,-0.649224980068798,2.90760236083752e-10,76,24
"43",0.937236006778463,11.1103963651686,0.144143125510913,-0.69709406890412,0.400945249762737,43,57
"44",16.6403621297238,14.1429365518219,-0.0226390674838771,-0.656869451861841,1.62785595375925e-20,16,84
"45",4.01503109882516,14.0289186369815,-0.142486539651583,-0.760920827116551,0.0051379288776956,37,63
"46",-4.16597000855836,14.2071502518053,-0.13550330757574,-0.964891094872779,0.00417965042552381,55,45
"47",-17.3101105431031,13.0490327736756,-0.034811244847206,-0.984087140635602,1.08828052450921e-23,92,8
"48",-21.6124262883514,13.6648559345239,-0.243249152416236,-0.669388753006827,7.56342984843463e-29,96,4
"49",-19.1842090366697,15.3022622108688,-0.187766632370495,-0.696164006979193,3.69845025506153e-22,93,7
"50",-22.857282097244,15.0317034883021,-0.320084740780336,-0.961966862827149,1.2064538465863e-27,99,1
"51",-16.7577415294895,17.7013096752702,-0.238912249010975,-1.03432830853718,1.59211605876934e-15,77,23
"52",-18.0046552702958,18.675846212997,-0.0922659048600844,-1.14744995328158,6.65480466727558e-16,78,22
"53",-25.7861623355186,17.3719758702706,0.0450668624137102,-1.16672685716551,6.39332452203101e-27,92,8
"54",-28.3991121682406,16.5698163093172,0.120136399172915,-1.2340574713117,2.18769486196515e-31,97,3
"55",-18.912494163531,19.036926369801,0.256142747194326,-1.19044344113223,1.51914371720333e-16,84,16
"56",-14.2425338154547,20.8987012544456,0.404221395666945,-1.13023335254405,7.45713258376509e-10,72,28
"57",-29.3631342421732,16.8202036302525,0.593221275707116,-0.80340718179729,5.54814648116761e-32,92,8
"58",-28.0809275911027,16.3017211088173,0.776767105145241,-0.330271846422248,1.50320449553729e-31,94,6
"59",-34.8095914961992,13.0298684216134,0.672725337830955,-0.683004616313367,4.70914005695601e-47,99,1
"60",-29.2160037577884,13.0929127446702,0.700917568156009,-0.844876173235495,2.07612559482044e-40,100,0
"61",-24.4239451333061,13.086830576624,0.841336739065932,-0.526348614391747,3.42827592023542e-34,93,7
"62",-23.561091563062,12.327235958007,1.07550750145188,0.206074375577622,5.38232693776268e-35,93,7
"63",-26.5432267790665,9.93849914856113,1.03323717264926,0.166843776824381,4.82957919620109e-47,98,2
"64",-20.1262589253762,9.50246759700499,1.10335676946429,0.452904137626051,1.49839987721571e-38,93,7
"65",-16.864681173268,8.82886378720067,1.28448975246599,1.49981831826338,5.63625427905692e-35,92,8
"66",-18.8329228682586,7.24698700815658,1.41709943377942,3.2720920968524,5.17620295635267e-46,97,3
"67",-13.4271077453468,5.82283368323059,0.292408984170411,-0.224054754889725,1.35140281721319e-41,98,2
"68",-11.6888416282398,5.59432397919359,0.404572067631588,0.256531527325723,4.51050030477751e-38,96,4
"69",-19.3725790987536,8.13731571608418,-0.656567416462132,1.47405546018836,9.25527074908371e-43,99,1
"70",-34.0131538124139,10.664856224613,1.76012976996166,7.09312635447962,6.99047641178977e-54,99,1
"71",-29.3000836381065,13.2826853840903,0.710842682364532,0.0741834908749901,5.37418591401573e-40,97,3
"72",-35.9362380390393,11.1077963879773,0.762637620885891,0.441651126416484,1.91759405352539e-54,99,1
"73",-6.36605094748957,14.7126558887635,-0.360062990113055,-0.474527882533144,3.61699511812854e-05,63,37
"74",-8.05077709093036,16.3852593328381,-0.338461761910896,-0.693806090384331,3.54461520878053e-06,63,37
"75",-9.32806535663242,17.9277843617475,-0.283907149537506,-0.937864563297725,1.06111262329158e-06,63,37
"76",-15.9018552788555,18.2238693861875,-0.0520197465325947,-1.25639470901717,6.52861562030199e-14,76,24
"77",-22.473723282667,17.571033731735,0.109551896828018,-1.25262827624388,1.07878353630415e-22,93,7
"78",-21.8226026334456,18.4854127549548,0.272322055354629,-1.17366320138685,1.33959774089012e-20,86,14
"79",-37.4046912411561,14.6314428592538,0.203288497527649,-1.42322523829557,2.13053727839544e-45,100,0
"80",-28.6075975116923,16.4971999375817,0.319796695277354,-1.36641427705989,9.1451738149036e-32,98,2
"81",-23.9556185673218,17.0833978888385,0.412101539899417,-1.18212117766857,2.95652564191253e-25,88,12
"82",-31.3408929373206,14.3956159899477,0.487882557766762,-1.06832360970979,1.58223120110997e-39,100,0
"83",-29.0010546590196,13.6842204201746,0.823520746163671,-0.281332166158385,1.42533902846551e-38,97,3
"84",-31.0181859695411,10.8119873566554,0.78171946291132,0.450475465312618,9.03583778113846e-50,99,1
"85",-17.5972503165156,10.3037644439627,0.632283773150417,-0.0812143442270448,2.84549665778881e-31,93,7
"86",-13.6761737257176,12.4233038014731,0.907156324888544,0.290906006305092,6.99890718225017e-19,88,12
"87",-5.02715025539998,19.2296295052641,0.976757962592286,-0.0450734429067752,0.0103378328093686,67,33
"88",0.306291832471902,19.4352130825324,0.760378147755869,-0.386912357380313,0.875095879722687,60,40
"89",1.99660238049025,20.7763383610183,0.75401227621507,-0.492619621924864,0.338894356580215,55,45
"90",-6.43788091373444,20.8212175228897,0.694705963366713,-0.655664568026958,0.00258303178540358,64,36
