"","Mean","Standard.Deviation","Skewness","Kurtosis","T.Test","Winners","Loserss"
"1",-18.1458928911759,13.1716444484297,0.682713558240941,-0.767260615342147,9.48376019360865e-25,86,14
"2",-10.0076593137255,12.674612943589,0.609911789536817,-0.449448721244429,4.00940832653193e-12,74,26
"3",-15.5705016463297,11.9002113813564,0.796619692521333,-0.160373710797867,2.6027395447642e-23,86,14
"4",-13.0712685807371,12.1702900008972,0.922104453215246,0.380020435509511,2.67215098708234e-18,82,18
"5",-26.8506708485799,10.1790443677671,0.992950785358451,0.679960295468405,1.41894974900503e-46,98,2
"6",-24.0835809806835,9.97881986377851,0.827930005295562,1.01400355161925,2.9125994045005e-43,97,3
"7",-19.0547223348196,8.9792315168648,0.303586305277551,-0.0176514783254826,1.28112355311153e-38,95,5
"8",-19.1140594466728,8.43495074465488,0.375573378214153,0.395795127500192,5.78976391249865e-41,96,4
"9",-14.3719619973486,8.45446010554814,0.562209517611344,0.224334754931935,4.015041171708e-31,96,4
"10",-7.26101482564209,8.8262967093991,-0.0422933289022251,0.629063402347321,7.83121286022285e-13,80,20
"11",-2.00818222025653,9.67019167706929,-0.176370842498459,0.75048606344468,0.0404218214492372,65,35
"12",-6.6255450388174,9.93378884247225,-0.108864301964819,0.211274591833501,1.47994155417991e-09,75,25
"13",-15.8742010459035,8.88575651630883,0.022823010381126,0.269154676201427,9.73576940708459e-33,95,5
"14",-19.8106995884774,7.9474805149243,-0.0429729395718932,0.548302686381756,1.86121080475098e-44,99,1
"15",-15.9524997505239,7.65464328274007,-0.418177226277144,0.0669427851190876,5.55614308343796e-38,100,0
"16",-13.4780752005,8.09106841148891,-0.271269129615793,-0.253818524818972,1.78659607790233e-30,97,3
"17",-17.6921384276855,7.54788766656558,-0.193919762541484,-0.283703792176079,3.42812217533131e-42,100,0
"18",-11.5587529976019,8.23859929009284,0.106268428366422,-0.298189935160219,2.85709882030759e-25,91,9
"19",-15.7956843531742,7.5515171060303,0.126256023730133,-0.0322683528044037,4.12443136915119e-38,98,2
"20",-19.2007498986623,7.01646041166768,0.243307032002759,0.0212200509535787,5.7721249377008e-48,99,1
"21",-16.8289515362686,6.21973425493448,-0.165788762648049,-0.372102900539787,1.55270853453496e-47,100,0
"22",-16.3654145365637,14.0578905762904,1.56408750348242,2.67693083917923,3.01139176513732e-20,91,9
"23",-2.79167941266443,9.86089106116901,0.494736464028195,-0.448497566995009,0.00561958677661973,68,32
