Date.1,S&P 500 ATM Implied Volatility,,Date.2,ATM Implied Volatility for Options on TY Notes,,Date.3,ATM Implied Volatility for Options on Crude Oil Futures,,Date.4,ATM Implied Volatility for Options on Gold Futures,,Date.5,ATM Implied Volatility for Options on Euro Currency Futures,,Date.6,ATM Implied Volatility for Options on Corn Currency Futures
19910103,21.632,,19910102,7.404,,19900102,29.28249,,19930104,10.13599,,19990108,10.328,,19910103,15.613
19910104,19.488,,19910103,6.801,,19900103,29.28249,,19930105,9.92,,19990111,11.627,,19910104,14.835
19910107,22.819,,19910104,6.687,,19900104,34.91139,,19930106,9.86509,,19990112,10.668,,19910107,15.071
19910108,23.751,,19910107,7.434,,19900105,27.95719,,19930107,9.82479,,19990113,12.01,,19910108,16.78
19910109,26.323,,19910108,8.09,,19900108,27.9572,,19930108,10.0628,,19990114,11.296,,19910109,15.102
19910110,25.697,,19910109,9.937,,19900109,28.6821,,19930111,9.8505,,19990115,11.417,,19910110,15.552
19910111,27.333,,19910110,8.678,,19900110,28.19149,,19930112,9.53929,,19990118,11.417,,19910111,16.498
19910114,30.626,,19910111,9.128,,19900111,28.03779,,19930113,9.7333,,19990119,11.161,,19910114,15.956
19910115,31.111,,19910114,8.93,,19900112,28.19149,,19930114,9.98229,,19990120,11.333,,19910115,17.91
19910116,27.803,,19910115,9.181,,19900115,28.8871,,19930115,9.953,,19990121,10.676,,19910116,18.428
19910117,22.261,,19910116,9.937,,19900116,28.089,,19930118,9.53929,,19990122,10.826,,19910117,17.932
19910118,20.349,,19910117,7.778,,19900117,28.56489,,19930119,9.19149,,19990125,11.047,,19910118,17.314
19910121,19.937,,19910118,7.816,,19900118,26.39039,,19930120,8.73019,,19990126,8.44,,19910121,16.803
19910122,21.492,,19910121,7.167,,19900119,27.58379,,19930121,8.98649,,19990127,9.165,,19910122,16.139
19910123,20.856,,19910122,7.221,,19900122,29.8829,,19930122,8.8547,,19990128,8.88,,19910123,15.827
19910124,19.566,,19910123,7.251,,19900123,29.20919,,19930125,8.7156,,19990129,8.867,,19910124,15.308
19910125,17.589,,19910124,6.664,,19900124,32.0554,,19930126,9.0085,,19990201,8.708,,19910125,14.286
19910128,19.163,,19910125,6.389,,19900125,33.2271,,19930127,8.69359,,19990202,8.711,,19910128,15.613
19910129,19.288,,19910128,6.114,,19900126,32.8683,,19930128,8.269,,19990203,8.79,,19910129,15.316
19910130,17.409,,19910129,5.748,,19900129,33.7397,,19930129,8.66429,,19990204,8.863,,19910130,15.125
19910131,16.077,,19910130,5.39,,19900130,34.6771,,19930201,8.88399,,19990205,8.629,,19910131,15.048
19910201,15.842,,19910131,5.725,,19900131,30.91309,,19930202,9.111,,19990208,8.532,,19910201,14.652
19910204,16.566,,19910201,5.306,,19900201,25.9437,,19930203,8.9645,,19990209,8.495,,19910204,14.606
19910205,17.335,,19910204,5.023,,19900202,27.1079,,19930204,8.70829,,19990210,8.475,,19910205,15.193
19910206,19.018,,19910205,5.146,,19900205,27.9279,,19930205,8.43,,19990211,8.744,,19910206,12.439
19910207,19.745,,19910206,4.97,,19900206,27.71559,,19930208,8.31659,,19990212,8.53,,19910207,13.469
19910208,19.248,,19910207,5.077,,19900207,26.88089,,19930209,8.09319,,19990215,8.53,,19910208,11.997
19910211,19.514,,19910208,4.314,,19900208,26.6247,,19930210,9.0963,,19990216,9.239,,19910211,12.241
19910212,20.398,,19910211,4.535,,19900209,28.71139,,19930211,9.10359,,19990217,8.521,,19910212,11.592
19910213,19.013,,19910212,3.887,,19900212,27.06399,,19930212,8.52159,,19990218,8.926,,19910213,15.277
19910214,18.985,,19910213,3.887,,19900213,27.13719,,19930215,8.5216,,19990219,9.299,,19910214,15.384
19910215,17.454,,19910214,3.887,,19900214,27.59849,,19930216,9.51729,,19990222,9.865,,19910215,15.224
19910219,18.351,,19910215,3.887,,19900215,27.30559,,19930217,9.05239,,19990223,9.782,,19910219,15.369
19910220,18.705,,19910219,5.367,,19900216,24.95529,,19930218,8.93519,,19990224,10.169,,19910220,13.042
19910221,19.203,,19910220,5.184,,19900220,26.26589,,19930219,8.78149,,19990225,10.289,,19910221,13.072
19910222,19.932,,19910221,5.481,,19900221,24.5965,,19930222,9.1183,,19990226,10.178,,19910222,13.446
19910225,20.441,,19910222,5.565,,19900222,22.80999,,19930223,9.22809,,19990301,10.741,,19910225,14.255
19910226,19.533,,19910225,5.26,,19900223,22.6196,,19930224,9.0597,,19990302,10.359,,19910226,13.79
19910227,18.406,,19910226,5.26,,19900226,22.7807,,19930225,8.94989,,19990303,9.94,,19910227,13.271
19910228,18.595,,19910227,4.581,,19900227,23.6154,,19930226,8.2397,,19990304,9.725,,19910228,14.324
19910301,17.782,,19910228,4.573,,19900228,23.38109,,19930301,8.02,,19990305,9.669,,19910301,13.423
19910304,16.367,,19910301,5.176,,19900301,26.39769,,19930302,8.4447,,19990308,9.632,,19910304,13.423
19910305,16.539,,19910304,5.229,,19900302,22.65629,,19930303,7.93949,,19990309,9.59,,19910305,12.844
19910306,17.224,,19910305,4.985,,19900305,21.8801,,19930304,8.32019,,19990310,9.411,,19910306,13.37
19910307,17.374,,19910306,4.84,,19900306,21.91679,,19930305,7.9175,,19990311,9.962,,19910307,13.683
