tick,price
0,1270
1,1270
2,1270
3,1270
4,1270.2
5,1270.2
6,1269.8
7,1269.8
8,1269.8
9,1269.8
10,1269.8
11,1269.8
12,1269.8
13,1269.8
14,1269.8
15,1269.8
16,1269.8
17,1269.8
18,1269.8
19,1269.8
20,1269.8
21,1269.8
22,1269.8
23,1269.8
24,1269.8
25,1269.8
26,1269.8
27,1269.8
28,1269.8
29,1269.8
30,1269.8
31,1269.8
32,1269.8
33,1269.8
34,1270
35,1270
36,1270
37,1270
38,1270
39,1270
40,1270
41,1270
42,1270
43,1270
44,1270
45,1270
46,1270
47,1270
48,1270
49,1270
50,1270
51,1270
52,1270
53,1270
54,1270
55,1270
56,1270
57,1270
58,1270
59,1270
60,1270
61,1270
62,1270
63,1270
64,1270
65,1270
66,1270
67,1270
68,1270
69,1270
70,1270
71,1270
72,1270
73,1270
74,1269.8
75,1269.8
76,1269.8
77,1269.8
78,1269.8
79,1269.8
80,1269.8
81,1269.8
82,1269.8
83,1269.8
84,1269.8
85,1269.8
86,1269.8
87,1269.8
88,1269.8
89,1269.8
90,1269.8
91,1269.8
92,1269.8
93,1269.8
94,1269.8
95,1269.8
96,1269.8
97,1269.8
98,1269.8
99,1269.8
100,1269.8
101,1269.8
102,1269.8
103,1269.8
104,1269.8
105,1269.8
106,1269.8
107,1269.8
108,1269.8
109,1269.8
110,1269.8
111,1269.8
112,1269.8
113,1269.8
114,1269.8
115,1269.8
116,1269.8
117,1269.8
118,1269.8
119,1269.8
120,1269.8
121,1269.8
122,1269.8
123,1269.8
124,1269.8
125,1270
126,1270
127,1270
128,1270
129,1270
130,1270
131,1270
132,1270
133,1270
134,1270
135,1270
136,1270
137,1270
138,1270
139,1270
140,1270
141,1270
142,1269.8
143,1269.8
144,1269.8
145,1269.8
146,1269.8
147,1269.8
148,1269.8
149,1269.8
150,1269.8
151,1269.8
152,1269.8
153,1269.8
154,1269.8
155,1269.8
156,1269.8
157,1269.8
158,1269.8
159,1269.8
160,1269.8
161,1270
162,1270
163,1270
164,1270
165,1270
166,1270
167,1270
168,1270
169,1270
170,1270
171,1270
172,1269.8
173,1269.8
174,1269.8
175,1269.8
176,1269.8
177,1269.8
178,1269.8
179,1269.8
180,1269.8
181,1269.8
182,1269.8
183,1269.8
184,1269.8
185,1269.8
186,1269.8
187,1269.8
188,1269.8
189,1269.8
190,1269.8
191,1269.8
192,1269.8
193,1269.8
194,1269.8
195,1269.8
196,1269.8
197,1269.8
198,1269.8
199,1269.8
200,1270
201,1270
202,1270
203,1270
204,1270
205,1270
206,1270
207,1270
208,1270
209,1270
210,1270
211,1270
212,1270
213,1270
214,1269.8
215,1269.8
216,1269.8
217,1269.8
218,1269.8
219,1269.8
220,1269.8
221,1269.8
222,1269.8
223,1269.8
224,1269.8
225,1269.8
226,1269.8
227,1269.8
228,1269.8
229,1269.8
230,1269.8
231,1269.8
232,1269.8
233,1269.8
234,1269.8
235,1269.8
236,1269.8
237,1269.8
238,1269.8
239,1269.8
240,1269.8
241,1269.8
242,1269.8
243,1269.8
244,1269.8
245,1269.8
246,1269.8
247,1269.8
248,1269.8
249,1269.8
250,1269.8
251,1269.8
252,1269.8
253,1269.8
254,1269.8
255,1269.8
256,1269.8
257,1269.8
258,1269.8
259,1269.8
260,1269.8
261,1269.8
262,1269.8
263,1269.8
264,1269.8
265,1269.8
266,1269.8
267,1269.8
268,1269.8
269,1269.8
270,1269.8
271,1269.8
272,1269.8
273,1269.8
274,1269.8
275,1269.8
276,1269.8
277,1269.8
278,1269.8
279,1269.8
280,1269.8
281,1269.8
282,1269.8
283,1269.8
284,1269.8
285,1269.8
286,1269.8
287,1269.8
288,1269.8
289,1269.8
290,1269.8
291,1269.8
292,1269.8
293,1269.8
294,1270
295,1270
296,1270
297,1270
298,1270
299,1270
300,1270
301,1270
302,1270
303,1269.8
304,1269.8
305,1269.8
306,1269.8
307,1269.6
308,1269.6
309,1269.6
310,1269.6
311,1269.6
312,1269.6
313,1269.6
314,1269.6
315,1269.6
316,1269.6
317,1269.6
318,1270
319,1270
320,1270
321,1270
322,1270
323,1270
324,1270
325,1270
326,1270
327,1270
328,1270
329,1269.6
330,1269.6
331,1269.6
332,1269.6
333,1269.6
334,1269.6
335,1269.6
336,1269.6
337,1269.6
338,1269.6
339,1269.6
340,1269.6
341,1269.6
342,1269.6
343,1269.6
344,1269.6
345,1269.6
346,1269.6
347,1269.6
348,1269.6
349,1269.6
350,1269.6
351,1269.6
352,1269.6
353,1269.6
354,1269.6
355,1269.6
356,1269.6
357,1269.6
358,1269.6
359,1269.6
360,1269.6
361,1269.6
362,1269.6
363,1269.6
364,1269.6
365,1269.6
366,1269.6
367,1269.6
368,1269.6
369,1269.6
370,1269.6
371,1269.8
372,1269.8
373,1269.8
374,1269.8
375,1269.8
376,1269.8
377,1269.8
378,1269.8
379,1269.8
380,1269.8
381,1269.8
382,1269.8
383,1269.8
384,1269.8
385,1269.8
386,1269.8
387,1269.8
388,1269.8
389,1269.8
390,1269.8
391,1269.8
392,1269.8
393,1269.8
394,1269.8
395,1270
396,1270
397,1270.2
398,1270.2
399,1270.2
400,1270.2
401,1270.2
402,1270.2
403,1270.2
404,1270.2
405,1270.2
406,1270.2
407,1270.2
408,1270
409,1270
410,1270
411,1270
412,1270
413,1270
414,1270
415,1270
416,1270
417,1270
418,1270
419,1270
420,1270
421,1270
422,1270
423,1270
424,1270
425,1270
426,1270
427,1270
428,1270
429,1270
430,1270
431,1270
432,1270
433,1270
434,1270
435,1270
436,1270
437,1270
438,1270
439,1270
440,1270
441,1270
442,1270
443,1270
444,1270
445,1270
446,1270
447,1270
448,1270
449,1270
450,1270
451,1270
452,1270
453,1270
454,1270
455,1270
456,1270
457,1270
458,1270
459,1270
460,1270
461,1270
462,1270
463,1270
464,1270
465,1270
466,1270
467,1270
468,1270
469,1270
470,1270
471,1270
472,1270
473,1270
474,1270
475,1270
476,1270
477,1270
478,1270.2
479,1270.2
480,1270.2
481,1270.2
482,1270.2
483,1270.2
484,1270.2
485,1270.2
486,1270.2
487,1270.2
488,1270.2
489,1270.2
490,1270
491,1270
492,1270
493,1270
494,1270
495,1270
496,1270
497,1270
498,1270
499,1269
500,1270
501,1270
502,1270
503,1270
504,1270
505,1270.2
506,1270.2
507,1270.2
508,1270.2
509,1270.2
510,1270.2
511,1270.2
512,1270.2
513,1270.2
514,1270.2
515,1270.2
516,1270.2
517,1270.2
518,1270.2
519,1270.2
520,1270.2
521,1270.2
522,1270
523,1270
524,1270
525,1270
526,1270
527,1270.2
528,1270.2
529,1270.2
530,1270.2
531,1270.2
532,1270.2
533,1270.2
534,1270.2
535,1270.2
536,1270.2
537,1270.2
538,1270.2
539,1270.2
540,1270.2
541,1270.2
542,1270.2
543,1270.2
544,1270.2
545,1270
546,1270
547,1270
548,1270
549,1270
550,1270
551,1270
552,1270.2
553,1269.8
554,1269.8
555,1269.8
556,1269.8
557,1269.8
558,1269.8
559,1269.8
560,1269.8
561,1269.8
562,1269.8
563,1270.2
564,1270.2
565,1270.2
566,1270.2
567,1270.2
568,1270.2
569,1270.2
570,1270.2
571,1270.2
572,1270.2
573,1270.2
574,1270.2
575,1270.2
576,1269.8
577,1269.8
578,1269.8
579,1270.2
580,1270.2
581,1270.2
582,1270.2
583,1270.2
584,1270.2
585,1270.2
586,1270.2
587,1270.2
588,1269.6
589,1269.6
590,1269.6
591,1269.6
592,1269.6
593,1269.6
594,1269.6
595,1269.6
596,1269.6
597,1270.2
598,1269.6
599,1269.6
600,1269.6
601,1269.6
602,1269.6
603,1269.6
604,1269.6
605,1270.2
606,1270.2
607,1270.2
608,1270.2
609,1270.2
610,1270.2
611,1270.2
612,1270.2
613,1270.2
614,1270.2
615,1270
616,1270
617,1270
618,1270
619,1270.2
620,1270.2
621,1270.2
622,1270.2
623,1270.2
624,1270.2
625,1270.2
626,1270.2
627,1270.2
628,1270.2
629,1270.2
630,1270.2
631,1270.2
632,1270.2
633,1270.2
634,1270.2
635,1270.2
636,1270.2
637,1270.2
638,1270
639,1270
640,1270
641,1270
642,1270
643,1270
644,1270
645,1270
646,1270
647,1270
648,1270
649,1270
650,1270
651,1270
652,1270
653,1270
654,1269.6
655,1269.6
656,1269.6
657,1269.6
658,1269.6
659,1269.6
660,1269.6
661,1269.6
662,1269.6
663,1269.6
664,1269.6
665,1269.6
666,1269.6
667,1269.6
668,1269.6
669,1269.6
670,1269.6
671,1269.6
672,1269.6
673,1269.6
674,1270.2
675,1270.2
676,1270.2
677,1270.2
678,1270.2
679,1270.2
680,1270.2
681,1270.2
682,1270.2
683,1270.2
684,1270.2
685,1270.2
686,1270.2
687,1270.2
688,1270.2
689,1270.2
690,1270.2
691,1270.2
692,1270
693,1270
694,1270
695,1270
696,1270
697,1270
698,1270
699,1270
700,1270
701,1270
702,1270.2
703,1270.2
704,1270.2
705,1270.2
706,1270.2
707,1270.2
708,1270.2
709,1270.2
710,1270.2
711,1270.2
712,1270.2
713,1270.2
714,1270.2
715,1270.2
716,1270.2
717,1270.2
718,1270.2
719,1270.2
720,1270
721,1269
722,1269.4
723,1269.4
724,1269.2
725,1269.2
726,1270.2
727,1270.2
728,1270.2
729,1270.2
730,1270.2
731,1270.2
