NHMNL5,NHMNL10,Dates,SP5,SP10,Price
0.62,0.62,31/05/90,0.66,0.74,361.230011
0.85,0.72,01/06/90,0.94,0.82,363.160004
0.81,0.37,04/06/90,0.87,0.72,367.399994
0.22,0.17,05/06/90,0.82,0.79,366.640015
0.17,0.24,06/06/90,0.7,0.67,364.959991
0.25,0.45,07/06/90,0.34,0.64,363.149994
0.13,0.6,08/06/90,0.07,0.59,358.709991
0.13,0.28,11/06/90,0.17,0.45,361.630005
0.59,0.14,12/06/90,0.46,0.64,366.25
0.5,0.35,13/06/90,0.51,0.53,364.899994
0.45,0.19,14/06/90,0.71,0.34,362.899994
0.68,0.14,15/06/90,0.44,0.19,362.910004
0.17,0.11,18/06/90,0.04,0.12,356.880005
0.08,0.24,19/06/90,0.09,0.16,358.470001
0.31,0.26,20/06/90,0.18,0.19,359.100006
0.38,0.43,21/06/90,0.23,0.46,360.470001
0.83,0.73,22/06/90,0.26,0.14,355.429993
0.41,0.11,25/06/90,0.11,0.01,352.309998
0.32,0.12,26/06/90,0.07,0.03,352.059998
0.32,0.31,27/06/90,0.14,0.11,355.140015
0.43,0.59,28/06/90,0.57,0.16,357.630005
0.84,0.7,29/06/90,0.82,0.44,358.019989
0.81,0.76,02/07/90,0.9,0.42,359.540009
0.85,0.75,03/07/90,0.79,0.42,360.160004
0.16,0.39,05/07/90,0.27,0.18,355.679993
0.46,0.31,06/07/90,0.38,0.53,358.420013
0.68,0.88,09/07/90,0.34,0.77,359.519989
0.29,0.76,10/07/90,0.19,0.63,356.48999
0.82,0.79,11/07/90,0.8,0.72,361.230011
0.88,0.71,12/07/90,0.88,0.78,365.440002
0.97,0.97,13/07/90,0.93,0.83,367.309998
0.86,0.82,16/07/90,0.99,0.84,368.950012
0.52,0.51,17/07/90,0.81,0.75,367.519989
0.05,0.5,18/07/90,0.27,0.8,364.220001
0,0.31,19/07/90,0.23,0.71,365.320007
0.09,0.35,20/07/90,0.05,0.43,361.609985
0.01,0,23/07/90,0.01,0.25,355.309998
0.26,0.07,24/07/90,0.06,0.13,355.790009
0.45,0.04,25/07/90,0.07,0.1,357.089996
0.09,0,26/07/90,0.16,0.06,355.910004
0.93,0.03,27/07/90,0.31,0.01,353.440002
0.29,0.04,30/07/90,0.36,0.05,355.549988
0.49,0.55,31/07/90,0.36,0.14,356.149994
0.71,0.44,01/08/90,0.37,0.11,355.519989
0.14,0.04,02/08/90,0.29,0.1,351.480011
0,0.04,03/08/90,0.02,0.09,344.859985
0,0,06/08/90,0,0,334.429993
0.04,0.02,07/08/90,0.01,0,334.829987
0.34,0.21,08/08/90,0.03,0.02,338.350006
1,0.25,09/08/90,0.23,0.07,339.940002
1,0.25,10/08/90,0.52,0.02,335.519989
0.75,0.04,13/08/90,0.74,0.04,338.839996
0.73,0.29,14/08/90,0.52,0.05,339.390015
0.76,0.71,15/08/90,0.45,0.14,340.059998
0.28,0.91,16/08/90,0.26,0.12,332.390015
0.01,0.73,17/08/90,0.05,0.28,327.829987
0.07,0.58,20/08/90,0.06,0.3,328.51001
0,0,21/08/90,0.02,0.05,321.859985
0.02,0.02,22/08/90,0.03,0,316.549988
0,0,23/08/90,0.01,0,307.059998
0.09,0.05,24/08/90,0.04,0.01,311.51001
1,0.7,27/08/90,0.44,0.06,321.440002
0.99,0.63,28/08/90,0.78,0.06,321.339996
1,0.94,29/08/90,1,0.32,324.190002
0.97,1,30/08/90,0.87,0.3,318.709991
0.29,0.93,31/08/90,0.56,0.4,322.559998
0.42,1,04/09/90,0.61,0.6,323.089996
0.46,0.99,05/09/90,0.5,0.81,324.390015
0.54,1,06/09/90,0.61,0.9,320.459991
0.75,0.97,07/09/90,0.54,0.89,323.399994
0.62,0.52,10/09/90,0.39,0.53,321.630005
0.31,0.45,11/09/90,0.31,0.5,321.040009
0.43,0.37,12/09/90,0.65,0.48,322.540009
0.27,0.42,13/09/90,0.26,0.52,318.649994
0.11,0.17,14/09/90,0.25,0.4,316.829987
0.19,0.21,17/09/90,0.3,0.41,317.769989
0.12,0.1,18/09/90,0.25,0.38,318.600006
0.31,0.28,19/09/90,0.33,0.45,316.600006
0.13,0.04,20/09/90,0.2,0.19,311.480011
0.09,0.04,21/09/90,0.17,0.22,311.320007
0.03,0.01,24/09/90,0.06,0.11,304.589996
0.04,0.05,25/09/90,0.15,0.14,308.26001
0.21,0.06,26/09/90,0.21,0.16,305.059998
0.07,0.04,27/09/90,0.12,0.13,300.970001
0.6,0.03,28/09/90,0.63,0.23,306.049988
0.95,0.81,01/10/90,0.87,0.5,314.940002
0.96,0.8,02/10/90,0.94,0.52,315.209991
0.98,0.93,03/10/90,0.95,0.57,311.399994
0.97,0.93,04/10/90,0.86,0.65,312.690002
0.33,0.98,05/10/90,0.34,0.81,311.5
0.44,0.94,08/10/90,0.45,0.73,313.480011
0.16,0.9,09/10/90,0.23,0.59,305.100006
0.1,0.92,10/10/90,0.08,0.54,300.390015
0.04,0.82,11/10/90,0.05,0.26,295.459991
0.1,0.17,12/10/90,0.08,0.15,300.029999
0.52,0.14,15/10/90,0.49,0.22,303.230011
0.66,0.12,16/10/90,0.51,0.21,298.920013
0.91,0.22,17/10/90,0.79,0.18,298.76001
0.89,0.69,18/10/90,0.85,0.47,305.73999
0.9,0.64,19/10/90,0.96,0.6,312.480011
0.91,0.88,22/10/90,0.99,0.98,314.76001
0.9,0.93,23/10/90,0.98,0.99,312.359985
0.77,0.98,24/10/90,0.89,1,312.600006
0.56,0.9,25/10/90,0.43,0.96,310.170013
0.28,0.81,26/10/90,0.16,0.74,304.709991
0.23,0.89,29/10/90,0.15,0.77,301.880005
0.17,0.72,30/10/90,0.2,0.83,304.059998
0.33,0.56,31/10/90,0.29,0.57,304
0.68,0.31,01/11/90,0.77,0.49,307.019989
