Dates,SP5,SP10,Price,LAST,MA5RANK,MA10RANK
15/03/91,0.39,0.45,373.589996,84.4758,0.24,0.189
18/03/91,0.5,0.11,372.109985,85.9155,0.41,0.135
19/03/91,0.06,0.07,366.589996,82.495,0.07,0.082
20/03/91,0.12,0.1,367.920013,81.4889,0.06,0.081
21/03/91,0.08,0.09,366.579987,78.672,0.03,0.07
22/03/91,0.14,0.13,367.480011,80.0805,0.03,0.12
25/03/91,0.6,0.29,369.829987,81.8914,0.31,0.14
26/03/91,0.81,0.37,376.299988,83.2998,0.47,0.14
27/03/91,0.82,0.37,375.350006,84.3058,0.73,0.2
28/03/91,0.77,0.35,375.220001,84.3058,0.65,0.24
01/04/91,0.45,0.24,371.299988,82.0202,0.38,0.14
02/04/91,0.57,0.74,379.5,85.0806,0.47,0.41
03/04/91,0.62,0.66,378.940002,84.9095,0.43,0.49
04/04/91,0.64,0.75,379.769989,85.3119,0.44,0.61
05/04/91,0.63,0.57,375.359985,83.2998,0.45,0.46
08/04/91,0.29,0.61,378.660004,85.1107,0.35,0.46
09/04/91,0.1,0.17,373.559998,82.6962,0.19,0.24
10/04/91,0.06,0.2,373.149994,82.0926,0.13,0.19
11/04/91,0.53,0.41,377.630005,83.7022,0.41,0.25
12/04/91,0.49,0.64,380.399994,84.4758,0.28,0.41
15/04/91,0.8,0.36,381.190002,84.507,0.52,0.27
16/04/91,0.97,0.62,387.619995,87.5252,0.75,0.45
17/04/91,0.93,0.67,390.450012,88.5312,0.7,0.52
18/04/91,0.81,0.77,388.459991,88.7324,0.68,0.61
19/04/91,0.54,0.51,384.200012,88.5081,0.66,0.54
22/04/91,0.06,0.55,380.950012,86.7203,0.25,0.56
23/04/91,0.03,0.6,381.76001,86.7203,0.22,0.57
24/04/91,0.12,0.48,382.76001,87.1227,0.24,0.53
25/04/91,0.15,0.21,379.25,84.9095,0.12,0.31
26/04/91,0.27,0.19,379.019989,85.5131,0.26,0.33
29/04/91,0.04,0.04,373.660004,83.2998,0.13,0.14
30/04/91,0.07,0.03,375.339996,84.2742,0.16,0.14
01/05/91,0.44,0.13,380.290009,86.2348,0.52,0.2
02/05/91,0.48,0.18,380.519989,86.4646,0.49,0.24
03/05/91,0.77,0.31,380.799988,86.2348,0.67,0.32
06/05/91,0.67,0.24,380.079987,86.4646,0.61,0.33
07/05/91,0.24,0.17,377.320007,85.4545,0.31,0.27
08/05/91,0.29,0.31,378.51001,86.4372,0.41,0.43
09/05/91,0.55,0.54,383.25,87.247,0.5,0.44
10/05/91,0.2,0.45,375.73999,84.6154,0.23,0.42
13/05/91,0.35,0.39,376.76001,84.413,0.29,0.35
14/05/91,0.09,0.11,371.619995,81.1741,0.06,0.14
15/05/91,0.01,0.09,368.570007,80.9717,0.03,0.12
16/05/91,0.25,0.13,372.190002,81.7814,0.18,0.16
17/05/91,0.22,0.18,372.390015,82.5911,0.27,0.2
20/05/91,0.45,0.22,372.279999,81.1741,0.45,0.17
21/05/91,0.75,0.26,375.350006,82.1862,0.56,0.19
22/05/91,0.64,0.19,376.190002,82.9959,0.55,0.19
23/05/91,0.56,0.37,374.959991,81.5789,0.34,0.27
24/05/91,0.69,0.42,377.48999,83.4008,0.64,0.36
28/05/91,0.74,0.71,381.940002,85.3955,0.7,0.67
29/05/91,0.74,0.81,382.790009,86.0041,0.69,0.69
30/05/91,0.89,0.81,386.959991,87.4239,0.82,0.71
31/05/91,0.9,0.85,389.829987,90.0406,0.83,0.73
03/06/91,0.68,0.81,388.059998,91.0569,0.79,0.76
04/06/91,0.62,0.73,387.73999,91.8699,0.81,0.75
05/06/91,0.27,0.62,385.089996,91.4634,0.68,0.72
06/06/91,0.09,0.59,383.630005,90.6504,0.43,0.74
07/06/91,0.02,0.4,379.429993,89.4309,0.22,0.66
10/06/91,0.01,0.17,378.570007,88.8211,0.11,0.57
11/06/91,0.2,0.22,381.049988,89.2276,0.17,0.53
12/06/91,0.08,0.03,376.649994,86.9919,0.07,0.31
13/06/91,0.32,0.02,377.630005,87.1951,0.18,0.18
14/06/91,0.58,0.13,382.290009,87.8049,0.31,0.16
17/06/91,0.35,0.12,380.130005,86.3821,0.14,0.04
18/06/91,0.47,0.14,378.589996,85.5691,0.29,0.01
19/06/91,0.27,0.08,375.089996,83.3333,0.07,0.01
20/06/91,0.1,0.21,375.420013,83.5366,0.05,0.02
21/06/91,0.29,0.34,377.75,83.5366,0.16,0.09
24/06/91,0.06,0.05,370.940002,79.8781,0.03,0
25/06/91,0.21,0.17,370.649994,80.4878,0.17,0.03
26/06/91,0.26,0.17,371.589996,80.0407,0.12,0.03
27/06/91,0.3,0.13,374.399994,81.0976,0.24,0.04
28/06/91,0.45,0.07,371.160004,80.2846,0.54,0.06
01/07/91,0.83,0.43,377.920013,83.5366,0.77,0.35
02/07/91,0.77,0.57,377.470001,81.3008,0.63,0.36
03/07/91,0.42,0.34,373.329987,79.065,0.3,0.16
05/07/91,0.62,0.28,374.079987,79.6296,0.45,0.23
08/07/91,0.46,0.68,377.940002,81.7073,0.32,0.6
09/07/91,0.41,0.66,376.109985,81.5041,0.56,0.55
10/07/91,0.61,0.63,375.73999,81.7073,0.78,0.59
11/07/91,0.65,0.61,376.970001,81.3387,0.71,0.51
12/07/91,0.6,0.83,380.25,83.3671,0.7,0.71
15/07/91,0.83,0.67,382.390015,83.57,0.74,0.5
16/07/91,0.8,0.64,381.540009,84.3813,0.78,0.71
17/07/91,0.73,0.77,381.179993,83.7728,0.75,0.84
18/07/91,0.76,0.91,385.369995,84.3813,0.61,0.84
19/07/91,0.53,0.71,384.220001,84.1785,0.56,0.63
22/07/91,0.48,0.71,382.880005,82.5558,0.29,0.55
23/07/91,0.36,0.61,379.420013,81.7073,0.26,0.47
24/07/91,0.12,0.5,378.640015,79.9189,0.06,0.39
25/07/91,0.3,0.46,380.959991,80.2846,0.09,0.29
26/07/91,0.35,0.37,380.929993,78.8618,0.11,0.16
29/07/91,0.71,0.49,383.149994,78.8618,0.19,0.11
30/07/91,0.93,0.7,386.690002,80.8943,0.64,0.33
31/07/91,0.88,0.6,387.809998,82.3171,0.78,0.37
01/08/91,0.83,0.62,387.119995,80.3245,0.73,0.28
02/08/91,0.72,0.69,387.179993,80.9717,0.8,0.45
05/08/91,0.38,0.74,385.059998,77.7328,0.17,0.25
06/08/91,0.62,0.92,390.619995,80.7302,0.38,0.62
07/08/91,0.67,0.87,390.559998,80.5668,0.55,0.6
08/08/91,0.55,0.79,389.320007,77.9352,0.19,0.49
09/08/91,0.54,0.62,387.119995,77.1255,0.49,0.44
